"","CBSA","CBSA_Name","CBSA_POP","CBSA_EMP","CBSA_WRK","TotPop","AutoOwn0","AutoOwn1","AutoOwn2p","NatWalkInd","TotEmp","E5_Ret","E5_Off","E5_Ind","E5_Svc","E5_Ent","E_LowWageWk","E_MedWageWk","E_HiWageWk","City","State"
"1",40060,"Richmond, VA",1258398,644437,606810,2442,29,139,571,4.5,128,14,0,13,101,0,31,39,58,"Richmond","VA"
"2",40060,"Richmond, VA",1258398,644437,606810,661,0,88,141,5.833333333,397,17,9,20,332,19,117,100,180,"Richmond","VA"
"3",40060,"Richmond, VA",1258398,644437,606810,3937,0,284,953,8.5,1229,93,332,159,606,39,346,350,533,"Richmond","VA"
"4",40060,"Richmond, VA",1258398,644437,606810,1738,156,393,279,12.33333333,340,11,40,11,255,23,132,125,83,"Richmond","VA"
"5",40060,"Richmond, VA",1258398,644437,606810,1551,19,139,364,13,357,32,109,22,194,0,86,115,156,"Richmond","VA"
"6",40060,"Richmond, VA",1258398,644437,606810,2882,41,333,651,10.66666667,202,34,15,38,60,55,84,89,29,"Richmond","VA"
"7",40060,"Richmond, VA",1258398,644437,606810,1109,28,134,330,12.66666667,449,70,27,194,75,83,133,203,113,"Richmond","VA"
"8",40060,"Richmond, VA",1258398,644437,606810,1134,0,148,251,3.5,24,0,0,21,3,0,3,18,3,"Richmond","VA"
"9",40060,"Richmond, VA",1258398,644437,606810,1938,0,118,473,6.166666667,5621,593,239,3667,1085,37,922,1736,2963,"Richmond","VA"
"10",40060,"Richmond, VA",1258398,644437,606810,4761,37,272,1247,6.666666667,49,14,2,7,26,0,25,12,12,"Richmond","VA"
"11",40060,"Richmond, VA",1258398,644437,606810,1274,41,196,313,5.166666667,48,0,1,18,29,0,22,14,12,"Richmond","VA"
"12",40060,"Richmond, VA",1258398,644437,606810,627,27,106,125,7.166666667,7,0,2,0,5,0,2,5,0,"Richmond","VA"
"13",40060,"Richmond, VA",1258398,644437,606810,1137,26,343,248,9.333333333,386,131,53,2,185,15,182,146,58,"Richmond","VA"
"14",40060,"Richmond, VA",1258398,644437,606810,658,0,50,275,6.5,48,9,4,2,7,26,25,13,10,"Richmond","VA"
"15",40060,"Richmond, VA",1258398,644437,606810,1645,46,246,257,6.5,3439,172,65,561,2451,190,670,1109,1660,"Richmond","VA"
"16",40060,"Richmond, VA",1258398,644437,606810,951,7,125,252,6,203,4,47,27,125,0,48,87,68,"Richmond","VA"
"17",40060,"Richmond, VA",1258398,644437,606810,1039,34,167,212,7.666666667,365,60,12,137,112,44,86,140,139,"Richmond","VA"
"18",40060,"Richmond, VA",1258398,644437,606810,518,62,87,117,7.333333333,251,38,0,94,75,44,70,89,92,"Richmond","VA"
"19",40060,"Richmond, VA",1258398,644437,606810,618,43,112,146,5.333333333,253,81,14,135,12,11,76,111,66,"Richmond","VA"
"20",40060,"Richmond, VA",1258398,644437,606810,525,2,6,251,6.833333333,456,34,3,99,175,145,215,165,76,"Richmond","VA"
"21",40060,"Richmond, VA",1258398,644437,606810,1038,53,186,252,6.5,437,54,2,53,242,86,134,200,103,"Richmond","VA"
"22",40060,"Richmond, VA",1258398,644437,606810,812,20,33,278,2.166666667,37,30,0,7,0,0,18,14,5,"Richmond","VA"
"23",40060,"Richmond, VA",1258398,644437,606810,1672,0,37,539,3,94,0,0,68,26,0,19,33,42,"Richmond","VA"
