ST_CASE,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
10001,0,0,0,0,0,0,0,0,0,0
10002,0,0,0,0,0,0,0,0,0,0
10003,0,0,0,0,0,0,0,0,0,0
10004,16,16,16,16,16,16,16,16,16,16
10005,23,23,23,23,23,23,23,23,23,23
10006,0,0,0,0,0,0,0,0,0,0
10007,0,0,0,0,0,0,0,0,0,0
10008,19,19,19,19,19,19,19,19,19,19
10009,0,0,0,0,0,0,0,0,0,0
10010,0,0,17,0,7,0,7,0,10,9
10011,18,11,14,5,9,13,14,6,12,17
10012,0,0,0,0,0,11,0,2,0,0
10013,0,0,0,0,0,0,0,0,0,0
10014,11,11,11,11,11,11,11,11,11,11
10015,0,0,0,0,0,0,0,0,0,0
10016,0,0,0,0,0,0,0,0,0,0
10017,0,0,9,0,0,0,0,0,0,0
10018,21,21,21,21,21,21,21,21,21,21
10019,5,0,0,0,25,0,0,7,7,0
10020,0,0,0,0,0,0,0,0,0,0
10021,30,0,0,0,0,0,0,0,0,16
10022,0,0,0,0,0,0,0,0,0,0
10023,0,0,0,0,0,0,0,0,0,0
10024,0,0,22,0,0,25,0,0,0,0
10025,0,17,0,0,0,0,6,2,0,0
10026,0,0,0,21,0,0,0,0,0,0
10027,0,26,0,0,0,0,0,0,0,0
10028,18,18,18,18,18,18,18,18,18,18
10029,0,0,14,0,0,0,0,0,0,0
10030,21,0,0,0,0,0,0,0,27,0
10031,22,22,22,22,22,22,22,22,22,22
10032,0,0,0,0,0,0,0,0,0,0
10033,8,8,8,8,8,8,8,8,8,8
10034,0,0,0,0,0,0,0,0,0,0
10035,31,22,11,27,16,15,3,6,8,33
10036,16,16,16,16,16,16,16,16,16,16
10037,19,0,0,0,13,0,0,12,0,0
10038,20,20,20,20,20,20,20,20,20,20
10039,18,18,18,18,18,18,18,18,18,18
10040,6,15,16,15,16,8,19,10,32,34
10041,25,25,25,25,25,25,25,25,25,25
10042,28,28,28,28,28,28,28,28,28,28
10043,0,0,0,0,0,0,0,0,0,0
10044,0,0,0,0,0,0,0,0,0,0
10045,0,0,0,0,0,0,0,0,0,0
10046,0,0,0,0,13,0,0,0,0,0
10047,0,0,0,0,0,0,0,0,0,0
10048,22,22,22,22,22,22,22,22,22,22
10049,0,0,0,0,0,0,0,0,0,0
10050,0,0,0,0,0,0,0,0,0,0
10051,13,13,13,13,13,13,13,13,17,13
10052,0,0,0,0,0,0,0,0,0,0
10053,0,12,35,14,25,19,20,6,9,20
10054,0,7,34,24,11,12,21,0,6,18
10055,5,5,5,5,5,5,5,5,5,5
10056,0,0,0,0,0,0,0,0,0,0
10057,0,0,0,0,0,0,0,0,0,0
10058,16,16,16,16,16,16,16,16,16,16
10059,0,15,0,25,20,0,5,0,0,9
10060,1,1,1,1,1,1,1,1,1,1
10061,0,0,0,0,0,0,0,0,0,0
10062,27,27,27,27,27,27,27,27,27,27
10063,5,5,5,5,5,5,5,5,5,5
10064,0,0,0,0,0,0,0,0,0,0
10065,20,20,20,20,20,20,20,20,20,20
10066,0,0,0,0,0,0,0,0,0,0
10067,0,0,0,0,0,0,0,0,0,0
10068,0,0,0,0,0,0,0,2,0,0
10069,0,0,0,16,0,0,0,0,0,0
10070,0,0,0,0,0,0,0,0,0,0
10071,14,12,13,0,0,0,23,0,7,0
10072,0,0,0,0,0,0,0,0,0,0
10073,0,0,0,0,0,16,0,0,0,0
10074,0,0,0,0,0,0,0,0,23,0
10075,15,15,15,15,15,15,15,15,15,15
10076,0,0,0,0,0,0,0,0,0,0
10077,0,26,14,10,0,0,0,0,0,16
10078,0,0,0,0,10,13,0,0,0,0
10079,0,0,0,0,0,0,24,0,0,0
10080,0,0,0,0,0,0,0,0,0,0
10081,0,0,0,0,0,0,0,14,12,0
10082,0,0,0,0,0,13,12,0,0,0
10083,0,0,0,0,0,0,0,0,0,0
10084,0,0,0,0,0,0,0,0,0,0
10085,16,16,16,16,16,16,16,16,16,16
10086,0,0,0,0,0,0,0,0,0,0
10087,28,28,28,28,28,28,28,28,28,28
10089,0,0,0,0,12,0,9,0,0,0
10090,1,1,1,1,1,1,1,1,1,1
10091,0,0,0,0,0,0,0,0,0,0
10092,0,0,0,0,0,0,0,0,0,0
10093,0,0,0,0,0,0,0,0,0,0
10094,0,0,0,0,0,0,0,0,24,0
10095,0,0,0,0,0,0,0,4,0,0
10096,13,13,13,13,13,13,13,13,13,13
10097,22,22,22,22,22,22,22,22,22,22
10098,0,0,0,0,0,0,0,0,0,0
10099,6,0,0,0,0,0,0,0,0,0
10100,17,17,17,17,17,17,17,17,17,17
10101,0,0,0,0,0,0,0,0,0,0
10102,18,18,18,18,18,18,18,18,18,18
10103,0,0,0,0,0,0,0,0,0,0
10104,0,35,0,0,0,0,7,21,11,36
10105,5,5,5,5,5,5,5,5,5,5
10106,0,0,0,0,0,0,0,0,0,0
10107,24,24,24,24,24,24,24,24,24,24
10108,0,0,0,0,0,0,0,26,0,0
10109,0,0,0,0,0,0,0,0,0,0
10110,4,22,0,11,17,0,0,0,0,17
10111,0,0,0,0,0,0,0,0,0,0
10112,15,15,15,15,15,15,15,15,15,15
10113,6,0,5,0,0,0,0,0,0,0
10114,0,0,0,0,0,0,0,0,0,0
10115,1,1,18,1,1,1,1,1,1,1
10116,15,15,15,15,15,15,15,15,15,15
10117,12,12,12,12,12,12,12,12,12,12
10118,0,24,0,5,0,4,0,0,0,0
10119,26,26,26,26,26,26,26,26,26,26
10120,0,0,0,0,0,0,0,0,0,0
10121,18,18,18,18,18,18,18,18,18,18
10122,13,25,0,0,16,13,0,0,0,0
10123,0,0,0,0,0,0,0,0,0,0
10124,16,14,0,5,34,16,24,42,10,21
10125,16,15,0,0,0,6,0,0,0,21
10126,21,0,0,0,0,25,0,29,54,0
10127,29,29,29,29,29,29,29,29,29,29
10128,8,0,11,0,18,0,26,0,0,13
